Gene,Xobs
mcrB,25.6
mdaB,221.92
mdfA,22.8
mdh,732.78
mdlA,5.75
mdlB,5.4
mdtA,7.3
mdtB,3.04
mdtC,1.98
mdtK,51.15
menA,72.09
menB,298.62
menC,45.82
menD,12.9
menE,14.85
menF,12.58
menH,3.87
mepA,48.3
metA,24.2
metB,14.3
metC,45.08
metE,42.75
metF,14.88
metG,503.8
metH,42.9
metI,83.23
metJ,508.53
metK,1762.2
metL,74.55
metN,178.19
metQ,604.09
metR,22.1
mfd,45.32
mglA,4
mglB,22.66
mgrB,71.69
mgsA,267.51
mgtA,21.84
mgtL,256.81
miaA,34.4
miaB,396.72
minC,65.79
minD,412.8
minE,277.68
mioC,161.04
mipA,1607.76
mlaA,248
mlaB,125.4
mlaC,404.82
mlaD,171.99
mlaE,65.52
mlaF,82.96
mltA,68.87
mltB,70.35
mltC,30.36
mltD,58.56
mltF,5.44
mmuM,7.83
mngB,1.32
mngR,22.61
mnmA,168.36
mnmC,17.68
mnmE,81
mnmG,177.62
mntH,10.44
mntR,48.95
moaA,20.79
moaB,103.23
moaC,98
moaD,79.12
moaE,68.73
mobA,9.02
mobB,11.76
modA,58.58
modB,4.37
modC,4.32
modE,50.76
modF,9.31
moeA,101.06
moeB,24.84
mog,154.84
mpaA,8.71
mpl,196.02
mppA,35.03
mprA,1085.28
mqo,119.56
mqsA,34.2
mqsR,3.84
mraY,68.04
mraZ,15.84
mrcA,42.84
mrcB,39.96
mrdA,24.84
mrdB,33.25
mreB,871.32
mreC,57.75
mreD,28.56
mrp,406.08
mrr,33.15
msbA,79.92
mscL,216.66
mscM,27.06
mscS,327.36
msrA,37.26
msrB,237.66
mtfA,11.62
mtgA,3.72
mtlA,32.4
mtlD,65.65
mtlR,17.98
mtn,485.55
mtr,5.16
mug,34.56
mukB,93.84
mukE,76.88
mukF,48.16
murA,372.96
murB,70.38
murC,96
murD,67.83
murE,87.72
murF,69.66
murG,39.48
murI,76.65
murJ,51.6
murP,2.1
murQ,21.6
mutH,9.15
mutL,12.41
mutM,52.51
mutS,81.13
mutT,48.36
mutY,38.4
mzrA,35.96
nadA,346.5
nadB,178.5
nadC,82
nadD,24.75
nadE,256.68
nadK,16.79
nadR,31.86
nagA,37.76
nagB,107.61
nagC,39
nagD,161.32
nagE,93.93
nagK,13.75
nagZ,67.71
nanA,24.21
nanR,38.18
napA,12.96
napC,5.61
narL,128.8
narP,133.2
narQ,2.8
narX,4.94
ndh,1019.25
ndk,3456.55
nei,18.92
nemA,39.06
nepI,12.8
nfi,13.02
nfo,80.73
nfrA,3.87
nfrB,0.5
nfsA,146.4
nfsB,479.05
nfuA,1224.72
nhaA,80.56
nhaB,82.08
nhaR,10.75
nikR,57.75
nirC,9.24
nlpA,21.42
nlpC,38.34
nlpD,102.72
nlpE,37.74
nlpI,32.65
norR,6.89
npr,30
nrdA,513.6
nrdB,338.13
nrdD,20
nrdE,4.7
nrdI,4.83
nrdR,62.1
nsrR,32.76
nth,41.41
nudB,21.42
nudC,45.63
nudE,87.04
nudF,54.52
nudJ,29.4
nudK,24.78
nudL,8.4
nuoA,237.12
nuoB,323.19
nuoC,233.1
nuoE,306.16
nuoF,189.81
nuoG,204.16
nuoH,126
nuoI,179.95
nuoJ,103.5
nuoK,102.9
nuoL,127.14
nuoM,165.12
nuoN,195.16
nupC,199.1
nupG,18.06
nusA,836.4
nusB,527.52
nusG,1433.6
obgE,350.4
ompA,15974.81
ompC,12572.16
ompF,6844.37
ompR,172.22
ompT,3095.7
ompX,9636.38
opgB,34.45
opgC,19.58
opgD,46.2
opgG,325.74
opgH,95.15
oppA,1650.36
oppB,207.76
oppC,202.46
oppD,272.25
oppF,302.6
orn,296.82
osmE,112.7
osmY,65.73
oxyR,144.2
paaX,13.65
paaY,16.96
pabA,28.7
pabB,28.29
pabC,6.27
pal,4916.25
panB,606.76
panC,279.66
panD,1166.16
panE,45.54
panF,29.52
parC,118.69
parE,185.73
pbpC,1.33
pbpG,77.5
pck,540.54
pcm,42.84
pcnB,117.18
pdhR,165.12
pdxA,20.91
pdxB,145.44
pdxH,89.9
pdxJ,142.12
pdxK,96.8
pdxY,66.15
pepA,194.74
pepB,199.68
pepD,571.5
pepN,234.3
pepP,94.5
pepQ,193.52
pepT,18.72
pfkA,359.1
pfkB,62.91
pflA,163.1
pflB,770.25
pgi,722.85
pgk,1962.38
pgl,198.9
pgm,275.77
pgpA,34.44
pgpB,5.92
pgsA,56.58
pheA,138.04
pheL,28.47
pheP,55.44
pheS,688.04
pheT,660.03
phoA,6.58
phoB,16.5
phoP,115.23
phoQ,10.15
phoR,5.2
phoU,91.56
phr,1.56
pitA,279.44
pldA,90.4
pldB,10.22
plsB,145.86
plsC,65.96
plsX,15.04
plsY,15.66
pmbA,187.46
pncA,103.68
pncB,185.64
pnp,916.08
pntA,145.6
pntB,90.35
pnuC,106.75
polA,154.88
polB,2.6
potA,276.45
potB,102.48
potC,89.08
potD,702.72
potF,19.74
potG,5.6
ppa,5118.6
ppc,195.11
ppiA,338.92
ppiB,1992.9
ppiC,701.1
ppiD,286.74
ppk,19.6
pppA,13.77
ppsA,209.88
ppsR,34.34
ppx,31.62
pqiA,11.04
pqiB,33.8
pqqL,3.84
prc,113.68
prfA,81.36
prfB,774.04
prfC,601.92
priA,8.06
priB,117.72
priC,12.69
prkB,14.72
prlC,238.56
prmA,297.99
prmB,144.97
prmC,14.4
proA,177
proB,156.98
proC,148.58
proP,35.7
proQ,1064.14
proS,933
proV,6.6
proW,7.26
proX,12.96
proY,99.51
prs,1520.82
psd,152.32
pspA,127.2
pspE,120.6
pssA,142.2
pstA,35.77
pstB,142.04
pstC,34.96
pstS,78.02
pta,1067.64
pth,152.4
ptrA,17.42
ptrB,6.8
ptsG,1188.25
ptsH,4177.52
ptsI,1160.25
ptsN,140.14
ptsP,30.6
purA,904.28
purB,565.45
purC,229.91
purD,82.88
purE,81.92
purF,102.7
purH,148.39
purK,50.16
purL,87.5
purM,122.36
purN,58.46
purP,229.62
purR,324
purT,51.29
purU,406.35
putA,16.66
putP,126
puuA,7.91
puuR,18.53
pykA,211.09
pykF,998.47
pyrB,104.49
pyrC,331.17
pyrD,139.44
pyrE,62.56
pyrF,241.78
pyrG,1118.43
pyrH,670.14
pyrI,83.19
pyrL,84.3
qmcA,13.6
qorA,16.38
qseC,7.2
qseD,4.32
queA,105
queC,152.65
queD,209.95
queF,117.36
racR,20.35
radA,32.66
raiA,276.95
rapA,393.24
rarA,23.76
rarD,25.52
ravA,10.8
rbbA,13.6
rbfA,475.83
rbn,35.65
rbsA,20.28
rbsB,132.16
rbsC,25.08
rbsD,44.8
rbsK,62.79
rbsR,7.2
rcsB,457.41
rcsC,7.79
rcsD,22.09
rcsF,238.76
rdgB,107.42
rdgC,227.25
rdoA,31.32
recA,797.56
recB,7.25
recC,8.91
recD,8.61
recF,11.57
recG,8.64
recJ,38.64
recN,31.6
recO,6.3
recQ,11.73
recR,101.43
relA,27.52
relB,218.24
relE,29.07
rep,34.8
rfaB,20.06
rfaC,30.71
rfaD,665
rfaE,216.66
rfaF,60.06
rfaG,28.32
rfaH,46.17
rfaI,17.98
rfaJ,35.64
rfaL,34.31
rfaP,21
rfaQ,35
rfaS,16.66
rfaY,32.86
rfaZ,21.6
rfbA,287.68
rfbB,406.25
rfbC,150.48
rfbD,219.96
rfbX,47.43
rfc,28.4
rfe,110.86
rffA,74.82
rffC,10.95
rffD,82.11
rffE,101.87
rffG,66.56
rffH,40.95
rffM,45
rffT,24.91
rhlB,265.29
rhlE,62.64
rho,1382.29
rhsD,0.14
rhtA,10.2
rhtC,17.28
ribA,180
ribB,239.86
ribC,174.75
ribD,46.87
ribE,840.18
ribF,56.16
rihA,38.88
rihC,46.92
rimI,48.45
rimJ,28.05
rimK,7.7
rimM,497.2
rimN,183.69
rimO,331.56
rimP,470.64
rlmA,77.83
rlmB,173.72
rlmE,124.96
rlmF,71.76
rlmG,85.5
rlmH,83.88
rlmI,235.6
rlmL,134.55
rlmM,158.27
rlmN,299.2
rlpA,100.44
rluA,44.75
rluB,534.36
rluC,188.02
rluD,184.08
rluE,28.35
rluF,39.77
rmuC,4.68
rna,115.5
rnb,364.23
rnc,260.58
rnd,60.42
rne,210.54
rng,33.54
rnhA,61.49
rnhB,47.04
rnk,288.58
rnlA,43.5
rnpA,154.77
rnr,86.1
rnt,83.19
rob,121.83
rodZ,101.12
rof,89.61
rpe,169.4
rph,410.87
rpiA,654.72
rpiR,25.38
rplA,11045.7
rplB,9718.5
rplC,9059.4
rplD,10089.17
rplE,8631.9
rplF,9025.02
rplI,10701.5
rplJ,10614.75
rplK,11792.1
rplL,36419.84
rplM,9221.31
rplN,9109.28
rplO,9048.8
rplP,10108.98
rplQ,11879.84
rplR,8460.9
rplS,11995.17
rplT,8797.67
rplU,11348.1
rplV,10278.9
rplW,7971.81
rplX,6056.76
rplY,10554.4
rpmA,10729.46
rpmB,13687.41
rpmC,9376.84
rpmD,8511.24
rpmE,13926
rpmF,15080.96
rpmG,11779.56
rpmH,15066
rpmI,12436.83
rpmJ,9118.35
rpoA,3704.19
rpoB,1246.66
rpoC,1346.22
rpoD,907.53
rpoE,40.92
rpoH,263.9
rpoN,34.75
rpoS,174.66
rpoZ,2271.94
rppH,48.36
rpsA,9732.84
rpsB,11056.97
rpsC,8788.76
rpsD,12195.12
rpsE,8825.98
rpsF,13089.76
rpsG,11676.21
rpsH,8449.6
rpsI,13506.46
rpsJ,12268.83
rpsK,10462.32
rpsL,10675.16
rpsM,9184.5
rpsN,10410.84
rpsO,11930.35
rpsP,12467.04
rpsQ,9108.8
rpsR,11835.72
rpsS,9246.51
rpsT,13013.4
rpsU,15216.66
rraA,256.2
rraB,823.02
rsd,24.36
rseA,87.6
rseB,38.54
rseC,18.88
rseP,30.52
rsgA,99.28
rsmA,254.82
rsmB,107.38
rsmC,170.69
rsmD,57.81
rsmE,77.9
rsmF,34.51
rsmG,170.1
rsmH,75.03
rsmI,73.6
rssA,19.52
rssB,12.75
rstA,29.4
rstB,7.68
rsuA,191.4
rsxA,33.93
rsxB,35.7
rsxC,36.3
rsxD,27.03
rsxE,30.36
rsxG,30.24
rtcA,2.34
rtcB,4.9
rtn,3.36
rumA,39.01
rumB,20.24
rutR,15.4
ruvA,50.76
ruvB,34.83
ruvC,34.71
sad,15.51
sanA,9.8
sapA,28.35
sapB,13.94
sapC,14.21
sapD,18.87
sapF,19.72
sbcB,31.44
sbcC,10.45
sbcD,18.48
