Gene,Xobs
YHR189W,0.005634
YKR063C,0.062139
YER076C,0.061890
YKL070W,0.006757
YEL062W,0.014986
YCL068C,0.026949
YGR239C,0.019717
YER026C,0.663303
YER036C,1.755256
YIL005W,0.094393
YPR153W,0.004167
YOL103W,0.219675
YBR066C,0.088496
YJR065C,0.738891
YGR187C,0.632288
YLR216C,1.858743
YGR272C,0.437631
YHR006W,0.026323
YDR001C,0.297975
YOL100W,0.014779
YPR188C,0.321606
YMR281W,0.242212
YKL056C,18.491019
YLR343W,0.011134
YDR189W,0.272194
YHR202W,0.066762
YGR225W,0.010416
YBL057C,0.365864
YEL072W,0.006208
YDR353W,4.818598
YJL044C,0.032636
YGR181W,1.238548
YPR033C,1.830315
YDL125C,2.595557
YDR179WA,0.026835
YMR125W,0.199232
YEL007W,0.155817
YJL072C,0.173384
YMR116C,52.461219
YDL014W,3.691287
YOL091W,0.007341
YOR221C,0.182624
YDR002W,4.042364
YNL101W,0.030395
YLR148W,0.017942
YPL120W,0.061590
YPR145W,2.942417
YLR002C,0.232375
YBR271W,0.166576
YFR032C,0.004198
YKL004W,0.347956
YBR240C,0.009735
YGL076C,12.880257
YGL060W,0.094525
YNL259C,1.362377
YKR010C,0.038969
YNL058C,0.430266
YDL170W,0.022492
YOR160W,0.043726
YER126C,1.023498
YPL007C,0.117986
YNR052C,0.623943
YER159C,0.356664
YLR284C,0.044745
YNR070W,0.007998
YER030W,1.004416
YOR252W,0.204755
YBR268W,1.003748
YMR252C,0.232500
YMR119W,0.072753
YDR077W,11.127208
YDL098C,0.077514
YLR185W,12.330876
YHL011C,0.760172
YPR157W,0.007669
YIR030C,0.043260
YDR451C,0.049362
YDR275W,0.043764
YMR222C,0.348520
YNR055C,0.259783
YPL003W,0.040745
YPL175W,0.027304
YLR063W,0.047370
YLR305C,0.073172
YJR113C,0.484783
YDL166C,0.650828
YNL124W,0.271883
YOR087W,0.040619
YEL053C,0.024849
YMR299C,0.017212
YMR056C,0.017653
YIL016W,0.269296
YJR029W,0.308628
YMR093W,0.178879
YLR405W,0.201139
YDR078C,0.021756
YCL037C,0.246962
YPR129W,0.297245
YBR230C,0.654534
YOR301W,0.075563
YPR086W,0.486045
YDR205W,0.059809
YIL014W,0.093051
YER043C,4.481786
YJL027C,0.205613
YNL116W,0.044334
YOR009W,0.259377
YPR013C,0.028079
YKR007W,0.358973
YPL042C,0.031854
YLR201C,0.179882
YHR150W,0.005878
YPL022W,0.033882
YER148W,0.797715
YEL075C,0.037779
YOR192C,0.008323
YOR163W,0.498369
YPL218W,2.094741
YDL105W,0.036929
YNL188W,0.056026
YHR103W,0.061812
YDR313C,0.013041
YDR361C,0.409780
YIL023C,0.239757
YFL041W,0.181534
YIL099W,0.010875
YMR310C,0.358018
YPL135W,0.460231
YGR186W,0.200151
YHR129C,0.024416
YGR142W,0.069309
YBR186W,0.004175
YMR156C,0.059479
YGR087C,0.094703
YJR152W,0.004897
YOR206W,0.559540
YER016W,0.254648
YBR029C,0.355296
YGL123W,18.688856
YEL077C,0.069195
YIR037W,2.147215
YGR086C,1.360149
YDR177W,1.604851
YMR013C,0.051822
YGR016W,0.012886
YKL112W,0.293590
YOR352W,0.056665
YOL076W,0.054265
YJL077C,0.049476
YJL036W,0.089549
YMR202W,5.241769
YGL066W,0.035710
YHR001W,0.346721
YBR274W,0.087673
YGL011C,0.874865
YLR043C,1.949697
YJL189W,25.456520
YAL055W,0.357573
YPL132W,0.063592
YER013W,0.016526
YOR215C,0.353157
YOR033C,0.037777
YOR004W,1.376134
YKR031C,0.039824
YGL097W,0.656999
YDR501W,0.013730
YDR116C,0.210117
YER132C,0.045769
YJR001W,0.223813
YNL252C,0.225349
YNL154C,0.405291
YHR078W,0.048705
YDR256C,0.004420
YDR228C,0.084190
YOL010W,0.203636
YOR390W,0.023975
YPR043W,12.051583
YOL019W,0.478213
YGR224W,0.010271
YNL211C,0.108931
YMR051C,0.860457
YKL151C,0.365038
YJL043W,0.018606
YGL022W,0.798833
YLR319C,0.033385
YDR085C,0.020742
YBR293W,0.042412
