Gene,Xobs
YIR014W,0.038726
YIR023W,0.037105
YJL003W,0.106449
YJL013C,0.028679
YJL019W,0.022546
YJL020C,0.067409
YJL025W,0.023343
YJL033W,0.146016
YJL035C,0.110315
YJL051W,0.015344
YJL056C,0.008419
YJL065C,0.415785
YJL070C,0.020076
YJL085W,0.010149
YJL089W,0.008179
YJL094C,0.01752
YJL097W,0.999154
YJL100W,0.046092
YJL105W,0.004449
YJL109C,0.196672
YJL111W,0.611513
YJL122W,0.766277
YJL123C,0.703585
YJL141C,0.037627
YJL159W,4.525564
YJL165C,0.040449
YJL170C,0.100203
YJL172W,0.387162
YJL179W,0.181154
YJL191W,2.387999
YJL192C,0.414274
YJL201W,0.016759
YJL213W,0.130556
YJL218W,0.128373
YJL222W,0.025395
YJR009C,45.512733
YJR025C,1.2132
YJR030C,0.040372
YJR040W,0.13383
YJR041C,0.077465
YJR048W,1.31418
YJR064W,1.887081
YJR074W,0.336535
YJR075W,0.438144
YJR077C,3.156254
YJR078W,0.060641
YJR079W,0.013882
YJR084W,0.208144
YJR110W,0.010572
YJR115W,0.056209
YJR135C,0.005816
YJR140C,0.024606
YJR148W,1.755522
YJR158W,0.003476
YJR160C,0.010052
YJR161C,0.338395
YKL003C,0.628119
YKL007W,0.426038
YKL017C,0.036647
YKL018W,0.107881
YKL025C,0.07242
YKL027W,0.200898
YKL028W,0.596138
YKL041W,0.181135
YKL045W,0.20467
YKL047W,0.019687
YKL057C,0.057749
YKL068W,0.174656
YKL071W,0.008395
YKL093W,0.008525
YKL094W,0.935856
YKL095W,0.017082
YKL100C,0.235599
YKL104C,0.564506
YKL109W,0.049118
YKL120W,1.740275
YKL127W,0.977001
YKL133C,0.03801
YKL141W,0.474875
YKL143W,0.042663
YKL152C,17.852449
YKL155C,0.021143
YKL157W,0.959676
YKL159C,0.169522
YKL163W,0.832855
YKL165C,0.394656
YKL168C,0.0313
YKL172W,1.204685
YKL173W,0.123475
YKL181W,1.952615
YKL183W,0.184094
YKL185W,0.14863
YKL188C,0.005893
YKL189W,0.07164
YKL203C,0.016472
YKL204W,0.270411
YKL205W,0.111637
YKL207W,0.476963
YKL208W,0.109119
YKL211C,0.985985
YKL212W,0.350739
YKL221W,0.016701
YKR002W,0.360208
YKR006C,0.543703
YKR009C,0.00712
YKR015C,0.004711
YKR016W,0.19694
YKR018C,0.614985
YKR028W,0.141928
YKR034W,0.01525
YKR038C,0.325017
YKR050W,0.004558
YKR055W,0.073974
YKR058W,0.021038
YKR066C,1.136947
YKR083C,0.103903
YKR090W,0.027617
YLL002W,0.079887
YLL009C,0.864589
YLL018C,2.34169
YLL023C,1.142777
YLL025W,1.860102
YLL027W,0.414672
YLL032C,0.0205
YLL039C,1.048498
YLL040C,0.039985
YLL046C,0.030272
YLL049W,0.144508
YLL050C,6.621613
YLL051C,0.065147
YLL061W,0.079763
YLR004C,0.01054
YLR007W,0.06435
YLR009W,0.958506
YLR010C,0.039847
YLR011W,0.108209
YLR017W,1.227519
YLR020C,0.101376
YLR024C,0.007424
YLR034C,0.879368
YLR035C,0.011583
YLR037C,0.567596
YLR039C,0.048672
YLR048W,6.04835
YLR051C,0.326787
YLR055C,0.118206
YLR057W,0.042008
YLR065C,1.952544
YLR069C,0.285355
YLR073C,0.074406
YLR082C,0.081747
YLR087C,0.009601
YLR088W,0.372586
YLR091W,0.035129
YLR104W,0.435676
YLR107W,0.058951
YLR133W,0.161476
YLR136C,0.019765
YLR138W,0.159206
YLR149C,0.017224
YLR151C,0.067813
YLR153C,1.870244
YLR154C,1.740302
YLR159W,0.178011
YLR162W,0.004094
YLR176C,0.00848
YLR177W,0.068541
YLR189C,0.074316
YLR194C,0.754756
YLR199C,0.325157
YLR200W,0.287469
YLR204W,0.656251
YLR205C,0.517778
YLR209C,0.304394
YLR210W,0.049582
YLR214W,0.504885
YLR220W,0.234983
YLR223C,0.084102
YLR234W,0.00773
YLR239C,0.07468
YLR241W,0.170406
YLR256W,0.105383
YLR257W,0.52277
YLR262C,0.262598
YLR265C,0.026163
YLR267W,0.004399
YLR268W,0.284183
YLR275W,0.340654
YLR285W,0.848587
YLR287CA,12.945238
